"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_anterior","RRI_nueva","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8"
"124",1113,77,7,5,5,4271,24,1,1,0,0,0,1,0,185634,4763244,0,0.886815848149456,1.06913873536098,5,0.829,0.606,0.394,0.061,0,1,0,5,0.823,0
"125",1265,90,7,19,18,2574,12,14,1,0,0,0,1,0,202384,4763244,0,0.726338999798716,0.980653114870741,18,0.562,0.622,0.377,0.007,0,1,0,18,0.5,0
"126",1602,102,7,1,1,11313,15,13,1,0,0,0,1,0,198014,4763244,0,0.406505322275726,1.00229529225206,1,0.313,0.961,0.038,0.019,0.742,0.258,0,1,0.249,0
"127",1930,102,7,1,2,1802,15,13,1,0,0,0,0,0,198014,4763244,0,5.74538270032422,1.00229529225206,1,0.313,1,0,0,NA,NA,NA,1,0.249,0
"128",1976,90,7,19,19,879,2,14,1,0,0,0,0,0,202384,4763244,0,4.48334011023764,0.980653114870741,18,0.562,1,0,0,NA,NA,NA,18,0.5,0
"129",1,1,8,11,1,732,1,1,0,1,1,0,1,0,158480,3296689,0,1.12516518996846,0.945542024230187,10,0.634,0.54,0.46,0.098,0.063,0.929,0.008,10,0.534,0
"130",17,2,8,11,10,3914,1,1,1,0,0,0,1,0,158480,3296689,0,1.11857201507857,0.945542024230187,10,0.634,0.41,0.59,0.076,0.287,0.713,0,10,0.534,0
"131",38,3,8,20,22,1133,3,2,0,1,1,0,1,0,143960,3296689,0,1.03036793575048,1.04091066963045,12,0.941,0.546,0.454,0.088,0.167,0.833,0,12,0.885,0
"132",82,6,8,13,11,637,5,4,1,0,0,0,0,0,151500,3296689,0,1.12592606506875,0.989105610561056,14,0.482,0.253,0.747,0.143,0.111,0.879,0.01,14,0.415,0
"133",102,7,8,22,21,1583,6,6,0,1,1,0,1,0,170595,3296689,0,1.03173002113728,0.878393270611683,21,0.848,0.108,0.892,0.045,0.01,0.99,0,21,0.757,0
"134",127,9,8,13,14,241,5,4,1,0,0,0,1,0,151500,3296689,0,1.10786263492533,0.989105610561056,14,0.482,0.098,0.902,0.11,0.043,0.957,0,14,0.415,0
"135",175,11,8,20,12,458,3,2,0,1,1,1,0,0,143960,3296689,0,1.10574531984445,1.04091066963045,12,0.941,0.382,0.617,0.188,0.379,0.621,0,12,0.885,0
"136",271,17,8,14,13,1489,7,7,1,0,0,0,1,0,163481,3296689,0,0.962078507409024,0.916617221573149,13,0.953,0.683,0.316,0.033,0.155,0.845,0,13,0.921,0
"137",402,19,8,18,19,924,10,10,1,0,0,0,1,0,163658,3296689,0,0.853332763873466,0.915625878356084,19,0.248,1,0,0,0.625,0.375,0,19,0.271,0
"138",437,19,8,16,18,791,11,11,1,0,0,0,1,0,163372,3296689,0,0.84909706993954,0.917228778493255,19,0.358,1,0,0,0.3,0.7,0,19,0.424,0
"139",538,19,8,18,16,4027,10,10,1,0,0,0,1,0,163658,3296689,0,1.28053511762846,0.915625878356084,19,0.248,0.841,0.159,0.032,0.071,0.929,0,19,0.271,0
"140",608,19,8,12,15,19342,9,9,1,0,0,0,0,0,156530,3296689,0,1.0502708915943,0.957321280265764,15,0.633,0.81,0.189,0.034,0.097,0.903,0,15,0.596,0
"141",621,19,8,12,17,4564,9,9,1,0,0,1,0,0,156530,3296689,0,1.06623334116023,0.957321280265764,15,0.633,0.969,0.031,0.01,0.593,0.407,0,15,0.596,0
"142",921,21,8,19,20,943,8,8,1,0,0,0,1,0,155006,3296689,0,1.08391803136393,0.966733545798227,20,0.892,0.773,0.227,0.076,0.574,0.426,0,20,0.866,0
"143",1424,37,8,2,2,7094,16,16,0,1,1,0,1,0,146623,3296689,0,0.87061567868742,1.02200541524863,6,0.374,0.989,0.01,0.005,0.053,0.947,0,6,0.264,0
