"","SECCION","munn.x","edon.x","disloc2018","disloc2012","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"292",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"293",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"294",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"295",133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"296",134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"297",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"298",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"299",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"300",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"301",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"302",140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"303",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"304",142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"305",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"306",144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"307",145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
