"seccion","munn.x","edon.x","edo.x","disfed1979.x","disfed1997.x","disfed2006.x","disfed2018.x","disloc2012.x","disloc2018.x","cab","nota.x","X","munn.y","edon.y","edo.y","disfed1979.y","disfed1997.y","disfed2006.y","disfed2018.y","disloc2012.y","disloc2018.y","nota.y","escenario1","escenario2","escenario3","pri_clv1","pri_clv2","juanZepedaPerez1","lorenzoLopezMendez1a","lorenzoLopezMendez1b","antonioPerezGomez1","leonardoLopezPerez1","magdalenaGironLopez1","JoseDomingoVazquezLopez1a","JoseDomingoVazquezLopez1b","esc1_priCLV1","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
745,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",745,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
746,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",746,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
747,114,7,"cps",9,3,3,11,20,20,"Las Margaritas","munn=52",747,114,7,"cps",9,3,3,11,20,23,"munn=52",7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
748,114,7,"cps",9,3,3,11,20,20,"Las Margaritas","munn=52",748,114,7,"cps",9,3,3,11,20,23,"munn=52",7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
749,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",749,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
750,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",750,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
751,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",751,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
752,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",752,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
753,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",753,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
754,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",754,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
755,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",755,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
756,114,7,"cps",9,3,3,11,20,20,"Las Margaritas","munn=52",756,114,7,"cps",9,3,3,11,20,23,"munn=52",7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
757,114,7,"cps",9,3,3,11,20,20,"Las Margaritas","munn=52",757,114,7,"cps",9,3,3,11,20,23,"munn=52",7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
758,114,7,"cps",9,3,3,11,20,20,"Las Margaritas","munn=52",758,114,7,"cps",9,3,3,11,20,23,"munn=52",7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
759,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",759,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
