"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_clv1","pan_cnv1","pes_clv1","prd_clv1","pri_clv1","pvem_clv1","mc_clv2","pan_cnv2","pes_clv2","prd_cnv2","pri_clv2","pvem_clv2","esc1_morCLV1","esc1_panCNV1","esc1_pesCLV1","esc1_prdCLV1","esc1_priCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panCNV2","esc2_pesCLV2","esc2_prdCNV2","esc2_priCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1"
81,6,19,"nl",6,2,2,2,"apodaca",16,16,72,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
82,6,19,"nl",6,2,2,2,"apodaca",16,16,73,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
83,6,19,"nl",6,2,2,2,"apodaca",16,16,74,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
84,6,19,"nl",6,2,2,2,"apodaca",16,16,75,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
85,6,19,"nl",6,2,2,2,"apodaca",16,16,76,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
86,6,19,"nl",6,2,2,2,"apodaca",16,16,77,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
87,6,19,"nl",6,2,2,2,"apodaca",16,16,78,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
88,6,19,"nl",6,2,2,2,"apodaca",16,16,79,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
89,6,19,"nl",6,2,2,2,"apodaca",16,16,80,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
90,6,19,"nl",6,2,2,2,"apodaca",16,16,81,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
91,6,19,"nl",6,2,2,2,"apodaca",16,16,82,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
92,6,19,"nl",6,2,2,2,"apodaca",16,16,83,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
93,6,19,"nl",6,2,2,2,"apodaca",16,16,84,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
94,6,19,"nl",6,2,2,2,"apodaca",16,16,85,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
95,6,19,"nl",6,2,2,2,"apodaca",16,16,86,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
96,6,19,"nl",6,2,2,2,"apodaca",16,16,87,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
97,6,19,"nl",6,2,2,2,"apodaca",16,16,88,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
98,6,19,"nl",6,2,2,2,"apodaca",16,16,89,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
99,6,19,"nl",6,2,2,2,"apodaca",16,16,90,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
100,6,19,"nl",6,2,2,2,"apodaca",16,16,91,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
101,6,19,"nl",6,2,2,2,"apodaca",16,16,92,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
102,6,19,"nl",6,2,2,2,"apodaca",16,16,93,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
103,6,19,"nl",6,2,2,2,"apodaca",16,5,94,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
104,6,19,"nl",6,2,2,2,"apodaca",16,5,95,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
105,6,19,"nl",6,2,2,2,"apodaca",16,5,96,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
106,6,19,"nl",6,2,2,2,"apodaca",16,5,97,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
107,6,19,"nl",6,2,2,2,"apodaca",16,5,98,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
