"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","cab","mun","disloc2005","disloc2017","demarc2008","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pri_clv1","esc1_panCLV1","esc1_priCLV1","E1","dsiE1_E3"
175,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,174,18,5,15,13,13,13,13,0,0,15,0.653
176,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,175,18,5,15,13,13,13,13,0,0,15,0.653
177,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,176,18,5,15,13,13,13,13,0,0,15,0.653
178,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,177,18,5,15,13,13,13,13,0,0,15,0.653
179,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.07,178,18,5,15,13,13,13,13,0,0,15,0.653
180,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.07,179,18,5,15,13,13,13,13,0,0,15,0.653
181,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,180,18,5,15,13,13,13,13,0,0,15,0.653
182,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,181,18,5,15,13,13,13,13,0,0,15,0.653
183,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,182,18,5,15,13,13,13,13,0,0,15,0.653
184,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,183,18,5,15,13,13,13,13,0,0,15,0.653
185,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,184,18,5,15,13,13,13,13,0,0,15,0.653
186,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,185,18,5,15,13,13,13,13,0,0,15,0.653
187,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,186,18,5,15,13,13,13,13,0,0,15,0.653
188,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.08,187,18,5,15,13,13,13,13,0,0,15,0.653
189,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.08,188,18,5,15,13,13,13,13,0,0,15,0.653
190,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.08,189,18,5,15,13,13,13,13,0,0,15,0.653
191,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,190,18,5,15,13,13,13,13,0,0,15,0.653
192,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,191,18,5,15,13,13,13,13,0,0,15,0.653
193,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,192,18,5,15,13,13,13,13,0,0,15,0.653
194,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,193,18,5,15,13,13,13,13,0,0,15,0.653
195,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,194,18,5,15,13,13,13,13,0,0,15,0.653
196,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.01,195,18,6,1,1,1,1,1,1,1,1,0.644
197,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.01,196,18,6,1,1,1,1,1,1,1,1,0.644
198,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.03,197,18,6,1,1,1,1,1,1,1,1,0.644
199,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.03,198,18,6,1,1,1,1,1,1,1,1,0.644
200,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.03,199,18,6,1,1,1,1,1,1,1,1,0.644
201,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.03,200,18,6,1,1,1,1,1,1,1,1,0.644
202,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.04,201,18,6,1,1,1,1,1,1,1,1,0.644
203,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.04,202,18,6,1,1,1,1,1,1,1,1,0.644
204,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.03,203,18,6,1,1,1,1,1,1,1,1,0.644
205,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.03,204,18,6,1,1,1,1,1,1,1,1,0.644
206,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.02,205,18,6,1,1,1,1,1,1,1,1,0.644
