"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","SQ","dsiSQ_E1"
128,6,17,"mor",2,3,3,3,7,14,"cuautla",128,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
129,6,17,"mor",2,3,3,3,7,14,"cuautla",129,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
130,6,17,"mor",2,3,3,3,7,14,"cuautla",130,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
131,6,17,"mor",2,3,3,3,7,14,"cuautla",131,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
132,6,17,"mor",2,3,3,3,7,14,"cuautla",132,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
133,6,17,"mor",2,3,3,3,7,14,"cuautla",133,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
134,6,17,"mor",2,3,3,3,7,14,"cuautla",134,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
135,6,17,"mor",2,3,3,3,7,14,"cuautla",135,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
136,6,17,"mor",2,3,3,3,7,15,"cuautla",136,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
137,6,17,"mor",2,3,3,3,7,15,"cuautla",137,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
138,6,17,"mor",2,3,3,3,7,15,"cuautla",138,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
139,6,17,"mor",2,3,3,3,7,15,"cuautla",139,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
140,6,17,"mor",2,3,3,3,7,14,"cuautla",140,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
141,6,17,"mor",2,3,3,3,7,14,"cuautla",141,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
142,6,17,"mor",2,3,3,3,7,14,"cuautla",142,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
