"seccion","munn","edon","disloc2017","disloc2005","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2005","RRI_2017","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
95,4,18,17,14,622,11,4,0,1,0,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
96,4,18,17,14,2106,11,4,0,1,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
97,4,18,17,14,1539,11,4,0,1,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
98,4,18,17,14,3430,11,4,0,1,1,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
99,4,18,17,14,1115,11,4,0,1,1,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
100,4,18,17,14,1916,11,4,1,0,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
101,4,18,17,14,1988,11,4,1,0,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
102,4,18,17,14,1626,11,4,1,0,0,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
103,4,18,17,14,1403,11,4,1,0,0,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
104,4,18,17,14,2625,11,4,1,0,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
105,4,18,17,14,1952,11,4,1,0,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
106,4,18,17,14,2085,11,4,1,0,0,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
107,4,18,17,14,2828,11,4,0,1,1,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
108,4,18,17,14,1829,11,4,1,0,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
109,4,18,17,14,1380,11,4,0,1,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
110,4,18,17,14,2366,11,4,0,1,0,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
111,4,18,17,14,6070,11,4,0,1,1,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
112,4,18,17,14,6244,11,4,1,0,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
113,4,18,17,14,1663,11,4,0,1,1,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
114,4,18,17,14,3214,11,4,0,1,1,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
115,4,18,17,14,10431,11,4,0,1,1,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
116,4,18,18,14,10308,12,3,1,0,0,0,0,0,62984,1084942,0,0.425043407674853,0.956982020125041,14,0.444,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.191,11,0.532
117,4,18,18,14,3132,12,3,1,0,0,0,0,0,62984,1084942,0,0.425043407674853,0.956982020125041,14,0.444,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.191,11,0.532
118,4,18,18,14,9541,12,3,0,1,1,0,1,0,62984,1084942,0,0.425043407674853,0.956982020125041,14,0.444,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.191,11,0.532
119,4,18,18,14,4821,12,3,1,0,0,0,0,0,62984,1084942,0,0.425043407674853,0.956982020125041,14,0.444,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.191,11,0.532
120,4,18,18,14,4843,12,3,0,1,1,0,0,0,62984,1084942,0,0.425043407674853,0.956982020125041,14,0.444,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.191,11,0.532
121,4,18,18,14,2117,12,3,1,0,0,0,0,0,62984,1084942,0,0.425043407674853,0.956982020125041,14,0.444,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.191,11,0.532
122,4,18,18,14,2550,12,3,1,0,0,0,1,0,62984,1084942,0,0.425043407674853,0.956982020125041,14,0.444,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.191,11,0.532
123,4,18,18,14,2456,12,3,0,1,1,1,0,0,62984,1084942,0,0.425043407674853,0.956982020125041,14,0.444,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.191,11,0.532
124,5,18,15,8,1166,16,13,1,0,0,0,0,0,57837,1084942,0,0.996899797485289,1.04214526264425,4,0.402,15,0.539,0.36,0.64,0.163,0.04,0.96,0,4,0.268,15,0.565
125,5,18,15,8,1398,16,13,1,0,0,0,0,0,57837,1084942,0,0.996899797485289,1.04214526264425,4,0.402,15,0.539,0.36,0.64,0.163,0.04,0.96,0,4,0.268,15,0.565
126,5,18,15,8,2083,16,13,0,1,1,0,1,0,57837,1084942,0,0.996899797485289,1.04214526264425,4,0.402,15,0.539,0.36,0.64,0.163,0.04,0.96,0,4,0.268,15,0.565
127,5,18,15,8,689,16,13,1,0,0,0,0,0,57837,1084942,0,0.996899797485289,1.04214526264425,4,0.402,15,0.539,0.36,0.64,0.163,0.04,0.96,0,4,0.268,15,0.565
128,5,18,15,8,934,16,13,0,1,1,0,0,0,57837,1084942,0,0.996899797485289,1.04214526264425,4,0.402,15,0.539,0.36,0.64,0.163,0.04,0.96,0,4,0.268,15,0.565
129,5,18,15,8,801,16,13,1,0,0,0,0,0,57837,1084942,0,0.996899797485289,1.04214526264425,4,0.402,15,0.539,0.36,0.64,0.163,0.04,0.96,0,4,0.268,15,0.565
130,5,18,15,8,854,15,13,1,0,0,0,1,0,57837,1084942,0,0.996899797485289,1.04214526264425,8,0.539,15,0.539,0.36,0.64,0.163,0.04,0.96,0,8,0.565,15,0.565
131,5,18,15,8,709,15,13,1,0,0,0,1,0,57837,1084942,0,0.996899797485289,1.04214526264425,8,0.539,15,0.539,0.36,0.64,0.163,0.04,0.96,0,8,0.565,15,0.565
132,5,18,15,8,1805,16,13,1,0,0,0,0,0,57837,1084942,0,0.996899797485289,1.04214526264425,4,0.402,15,0.539,0.36,0.64,0.163,0.04,0.96,0,4,0.268,15,0.565
